,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
0,0,3,male,0.2711736617240512,1,0,0.014151057562208049,S,Third,man,True,,Southampton,no,False,1
1,1,1,female,0.4722292033174164,1,0,0.13913573538264068,C,First,woman,False,C,Cherbourg,yes,False,1
2,1,3,female,0.32143754712239253,0,0,0.015468569817999833,S,Third,woman,False,,Southampton,yes,True,0
3,1,1,female,0.4345312892686604,1,0,0.10364429745562033,S,First,woman,False,C,Southampton,yes,False,1
4,0,3,male,0.4345312892686604,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
5,0,3,male,,0,0,0.01650950209357577,Q,Third,man,True,,Queenstown,no,True,0
6,0,1,male,0.6732847449107816,0,0,0.10122885832000206,S,First,man,True,E,Southampton,no,True,0
7,0,3,male,0.01985423473234481,3,1,0.04113566043083236,S,Third,child,False,,Southampton,no,False,4
8,1,3,female,0.33400351847197784,0,2,0.021730754366528396,S,Third,woman,False,,Southampton,yes,False,2
9,1,2,female,0.17064589092736868,1,0,0.058694292654020104,C,Second,child,False,,Cherbourg,yes,False,1
10,1,3,female,0.04498617743151546,1,1,0.03259622914329302,S,Third,child,False,G,Southampton,yes,False,2
11,1,1,female,0.723548630309123,0,0,0.051822148727810165,S,First,woman,False,C,Southampton,yes,True,0
12,0,3,male,0.24604171902488062,0,0,0.015712553569072387,S,Third,man,True,,Southampton,no,True,0
13,0,3,male,0.4847951746670017,1,5,0.06104473451835265,S,Third,man,True,,Southampton,no,False,6
14,0,3,female,0.17064589092736868,0,0,0.015330377421392339,S,Third,child,False,,Southampton,no,True,0
15,1,2,female,0.685850716260367,0,0,0.03122992013728673,S,Second,woman,False,,Southampton,yes,True,0
16,0,3,male,0.01985423473234481,4,1,0.05684821399990475,Q,Third,child,False,,Queenstown,no,False,5
17,1,2,male,,0,0,0.025374310111545468,S,Second,man,True,,Southampton,yes,True,0
18,0,3,female,0.38426740387031916,1,0,0.03513366015444757,S,Third,woman,False,,Southampton,no,False,1
19,1,3,female,,0,0,0.014102260811993537,C,Third,woman,False,,Cherbourg,yes,True,0
20,0,2,male,0.4345312892686604,0,0,0.050748620223090936,S,Second,man,True,,Southampton,no,True,0
21,1,2,male,0.4219653179190751,0,0,0.025374310111545468,S,Second,man,True,D,Southampton,yes,True,0
22,1,3,female,0.18321186227695402,0,0,0.015671954672893913,Q,Third,child,False,,Queenstown,yes,True,0
23,1,1,male,0.34656948982156316,0,0,0.06929138530460494,S,First,man,True,A,Southampton,yes,True,0
24,0,3,female,0.09525006282985675,3,1,0.04113566043083236,S,Third,child,False,,Southampton,no,False,4
